Fruit;Decription
Abricot;Ce fruit délicat est issu de la Chine et possède un noyau central. Il y en a plus de quarante variétés cultivées généralement en Turquie. Sa peau orange est comestible, surplombée d’un duvet et devient lisse à maturité. Sa chair est plus farineuse et dense. Il possède un parfum sucré sans égal.
Abricot pays;L’abricot pays ou Mamey vient des Grandes Antilles. Il ressemble par sa couleur et sa texture à l’abricot, sans y être lié. C’est une baie comestible orange vif. Ses goûts sont aromatiques et acidulés. Sa pulpe est recouverte par une peau gris-brun rugeuse. Il contient quelques graines que l’on peut râper et tremper dans de l’alcool.
Açaï;Petite baie d’Amérique du Sud, ayant davatange de notoriété de nos jours, elle provient d’un palmier des zones marécageuses. D’un pourpre foncé, sa saveur allie celle des baies sauvages avec des tons chocolats. Ses vertus antioxydantes ne font qu’accroître la curiosité pour ce fruit. Son aspect est apparenté au cassis.
Acérola;Ayant la forme d’une petite cerise à bourrelets, et remarquablement riche en vitamine C, l’acérola a une couleur rouge épatante. Poussant en Amérique du Sud et Centrale, elle étonne et séduit par son goût sucré, acide et légèrement âpre.
Achacha;Originaire des Antilles, l’achacha est une baie. De forme ellipsoïde et acuminée, il a une peau lisse. D’environ sept centimètres de diamètre, sa couleur extérieure est jaune d’or. Il peut comporter une ou plusieurs graines entourées d’une pulpe blanche. Comestible, son goût est généralement décrit comme amer mais plutôt rafraîchissant.
Aguaje;L’aguaje, ou buriti, pousse en forêt brésilienne et péruvienne, dans les zones marécageuses. Il a une forme elliptique plus longue que large. Riche en lipides et acides gras, sa partie charnue se consomme crue et a un riche apport calorique. Sa peau possède des écailles brillantes brunes avec une chair jaune vif.
Airelle rouge;L’airelle rouge est acidulée. Globuleuse, elle atteint parfois dix millimètres de diamètre. Sa couleur est rouge, et son caractère acide diminue si elle est blette. L’airelle rouge se mange crue, en gelées et en confitures, seule ou mélangée. Elle a des traits de ressemblance avec la groseille. Elle pousse au Japon et en Amérique du Nord.
Amla;Ce fruit jaunâtre a des allures de groseille. Connue sous l’appellation de groseille à maquereau indienne, elle se récolte l’hiver dans l’hémisphère nord. Elle possède une forme de sphère avec des facettes peu saillantes. Acide, tannique, sa peau est fine.
Ananas;L’ananas est un fruit tropical issu d’une plante herbacée du même nom vivant à l’origine dans des zones arides. Même s’il vient d’Amérique de Sud, il est néanmoins cultivé aux Philippines, dans les Antilles, en Chine et en Thaïlande. Sous son écorce épaisse composée d’écailles de forme géométrique, se cache une chair juteuse, sucrée et parfumée de couleur jaune ou blanche. L’ananas est riche en vitamines et oligo-éléments.
Arbouse;Baie sphérique, elle est pigmentée de rouge et ne dépasse pas les deux centimètres. D’une saveur discrète et acidulée, elle a l’aspect d’un litchi orangé ou jaune avec sa peau rugueuse qui contient des picots. Elle se consomme surtout transformée dans des sirops. Elle pousse sur le pourtour méditerranéen occidental.
Aronia;L’aronia est une petite baie d’un arbuste d’Amérique du Nord. De couleur noire et légèrement amère, ou rouge et plus sucrée, elle a la forme d'une sphère d’un centimètre de diamètre. Elle a une apparence proche de la myrtille et un goût de cerise. Très parfumée, elle renferme de multiples vitamines et vertus.
Aronia noir;Provenant de fleurs blanches à cing pétales larges, les aronias noirs donnent une production de fruits importante. Ces baies sont noires et rondes ont un diamètre d’environ neuf millimètres. Les aronias mûrissent d’octobre à décembre. Elles possèdent un goût mêlant un côté astringent et acidulé, ressemblant au cassis, et elles sont riches en pectine.
Aronia rouge;L’aronia rouge est une baie. Possédant un goût amer et astringent, on les mange cuites. En jus et en confiture, elle a un goût qui se rapproche du cassis. Elle mesure entre quatre et sept millimètres de diamètre. Riche en vitamine C, l’aronia rouge est très pigmentée et aussi très antioxydante.
Asiminier trilobé;L’asimine, est un fruit charnu de l’assiminier trilobé. Cette baie a un aspect oblong pouvant aller jusqu’à quinze centimètres. Sa couleur davantage verte pendant sa croissance tire vers le jaune à sa maturité. Sa chair est crémeuse, de couleur jaunâtre. Son goût est un doux mélange entre la banane et la mangue.
